Column1,Column2,Column3
Discovery Island Trails,2021-07-24 12:01:03.887184-04:00,Closed
Flamingos - Disney Animals,2021-07-24 12:01:03.887217-04:00,Closed
Fossil Fun Games,2021-07-24 12:01:03.887250-04:00,Closed
Gibbons - Disney Animals,2021-07-24 12:01:03.887283-04:00,Closed
Giraffes - Disney Animals,2021-07-24 12:01:03.887316-04:00,Closed
Gorillas - Disney Animals,2021-07-24 12:01:03.887349-04:00,Closed
Hippopotamuses - Disney Animals,2021-07-24 12:01:03.887381-04:00,Closed
Invertebrates at Gorilla Falls Exploration Trail - Disney Animals,2021-07-24 12:01:03.887415-04:00,Closed
Invertebrates at Rafiki's Planet Watch - Disney Animals,2021-07-24 12:01:03.887450-04:00,Closed
Komodo Dragons - Disney Animals,2021-07-24 12:01:03.887484-04:00,Closed
Meerkats - Disney Animals,2021-07-24 12:01:03.887517-04:00,Closed
